Hour	Fe	CaO	SiO2	MgO	MnO	Al2O3	Tonnes
53	34.35	6.74	4.17	3.43	2.69	0.62	333
54	33.67	5.99	5.86	3.37	2.67	1.07	332
55	31.79	8.32	4.99	3.69	2.62	0.95	333
56	32.25	7.95	5.26	3.47	2.58	0.96	332
57	30.25	9.54	6.45	3.29	2.39	1.04	333
58	30.72	9.64	5.49	3.57	2.47	0.97	332
59	32.64	7.71	5.4	3.21	2.58	0.98	333
60	33.68	6.31	5.62	3.53	2.65	1.11	340
61	33.36	6.75	5.64	3.39	2.63	1.04	340
62	30.98	9.85	5.27	3.42	2.44	0.91	340
63	30.57	10.04	5.52	3.44	2.39	1.06	313
64	32.24	7.96	5.78	3.45	2.53	0.92	315
65	33.08	7.09	5.99	3.27	2.60	1.06	315
66	33.8	6.14	6.38	3.1	2.62	1.08	315
67	31.9	7.28	7.43	3.15	2.52	1.42	315
68	32.13	8.43	5.54	3.31	2.53	0.91	315
69	32.21	7.35	7.1	3.19	2.54	1.27	392
70	32.55	7.98	5.47	3.27	2.60	0.93	420
71	32.96	7.51	5.71	3.21	2.54	0.88	236
72	32.87	7.95	5.65	3.15	2.54	0.82	363
73	32.65	8.07	5.24	3.25	2.57	0.84	393
74	33.93	6.83	4.63	3.44	2.66	0.73	346
75	34	6.3	5.1	3.44	2.74	0.83	209
76	34.59	5.47	5.57	3.42	2.79	1.03	408
77	32.74	6.85	6.17	3.57	2.67	1.16	365
78	32.7	7.95	4.36	3.71	2.57	0.84	139
79	32.06	7.84	5.24	3.85	2.57	0.84	249
80	31.06	8.31	6.85	3.69	2.61	1.21	399
81	33.63	6.62	5.71	3.35	2.66	0.97	537
82	34.36	6.23	3.91	3.57	2.62	1.15	338
83	34.5	6.78	3.42	3.35	2.65	0.93	312
84	34.3	6.23	4.58	3.18	2.58	1.13	118
85	34.89	5.53	4.39	3.33	2.63	1.17	303
86	33.92	7.21	4.07	3.23	2.60	1.16	303
87	32.14	7.41	6.22	3.55	2.65	1.18	207
88	32.33	8.66	3.68	3.87	2.58	0.88	221
89	34.8	6.99	2.4	4.1	2.72	0.59	417
90	30.51	10.08	2.88	4.99	2.49	0.71	416
91	32.58	8.39	3.37	4.24	2.58	0.82	387
92	32.94	8.3	2.97	3.93	2.65	0.8	375
93	34.13	7.3	2.92	3.83	2.70	0.75	298
94	34.86	5.17	4.78	3.41	2.65	1.27	313
95	34.5	5.96	4.83	3.37	2.58	1.35	209
96	35.52	5.44	3.67	3.53	2.62	1	178
97	34.7	6.02	4.27	3.47	2.65	1.16	380
98	33.61	7.67	3.87	3.65	2.66	0.95	391
99	32.16	8.38	3.84	4.31	2.58	0.96	363
100	30.45	9.5	3.97	4.92	2.47	0.9	340
101	32.27	8.41	3.92	4.27	2.58	0.92	290
102	32.6	8.17	3.64	4.01	2.65	0.71	451
103	32.64	7.67	3.82	4.07	2.63	0.87	250
104	32.61	8.13	3.79	3.7	2.53	0.98	233
105	33.69	7.35	3.26	3.69	2.61	0.98	392
106	34.07	7.13	3.12	3.85	2.67	0.67	284
107	33.55	7	4.11	3.72	2.65	0.79	344
108	30.37	11.03	2.35	4.38	2.45	0.6	155
109	28.91	11.57	3.57	4.58	2.35	0.78	341
110	31.61	9.01	3.51	4.26	2.58	0.77	348
111	33.85	6.24	5.1	3.17	2.58	1.5	285
112	35.01	5.59	4.05	3.36	2.69	1.06	245
113	34.73	5.34	4.83	3.31	2.67	1.36	326
114	32.52	7.22	5.38	3.57	2.52	1.46	304
115	33.54	7.15	4.01	3.66	2.57	1.08	284
116	33.31	8.12	3.07	3.85	2.62	0.78	268
117	32.6	7.43	5.07	3.74	2.53	1.16	238
118	31.4	8.84	5.47	3.56	2.43	1.42	189
119	33.27	7.82	3.38	3.95	2.62	0.97	200
120	30.7	10.88	2.62	4.24	2.47	0.68	314
121	29.01	12.28	2.9	4.5	2.34	0.75	337
122	29.16	12.09	2.6	4.78	2.31	0.68	355
123	29.57	11.57	2.85	4.55	2.35	0.83	333
124	29.53	11.69	2.78	4.59	2.35	0.79	341
125	33.27	6.93	4.71	3.75	2.69	1	298
126	33.86	6.04	5.35	3.42	2.66	1.06	348
127	32.75	7.16	4.8	3.72	2.58	1.14	229
128	33.21	6.56	5.6	3.39	2.60	1.28	275
129	34.91	6.14	3.28	3.74	2.76	0.77	286
130	33.72	6.24	5.39	3.48	2.65	1.1	377
131	30.69	8.25	5.77	4.21	2.43	1.4	356
132	30.93	10.39	3.53	3.71	2.39	0.81	146
133	29.65	10.7	4.79	3.94	2.31	1.2	209
134	32.73	7.2	4.68	3.78	2.53	1.16	365
135	32.03	9.75	1.89	4.53	2.50	0.5	141
136	30.51	9.8	4.35	4.07	2.53	0.88	330
137	30.07	9.55	4.84	4.41	2.48	0.94	202
138	32.36	7.29	5.2	3.95	2.52	1.07	247
139	34.22	4.92	5.81	3.76	2.63	1.03	257
140	33.44	5.64	5.57	3.81	2.56	1.17	314
141	31.93	8.13	5.26	3.67	2.52	1.06	395
142	31.19	7.74	6.56	3.89	2.47	1.46	380
143	33.07	7.12	4.76	3.8	2.57	1.09	103
144	34.54	6.81	2.99	3.85	2.65	0.72	156
145	33.73	6.16	5.15	3.66	2.57	1.2	292
146	32.38	5.83	7.21	3.65	2.50	1.96	440
147	34.68	4.2	6.85	3.37	2.69	1.48	368
148	32.98	4.86	8.36	3.46	2.60	1.73	340
149	32.03	5.91	8.14	3.57	2.49	1.74	366
150	30.61	6.36	8.74	3.84	2.34	1.71	459
151	31.26	5.92	8.68	3.78	2.40	1.47	251
152	35.56	3.42	6.42	3.31	2.78	1.36	241
153	35.17	4.31	5.84	3.34	2.79	1.29	372
154	33	7.2	4.6	3.83	2.58	1.25	347
155	35.79	5.26	3.65	3.46	2.71	1	170
156	33.29	6.4	5.13	3.69	2.47	1.13	230
157	34.14	6.33	4.57	3.54	2.52	0.98	318
158	31.95	8.79	4.14	3.76	2.41	0.93	265
159	33.66	6.61	4.45	3.68	2.49	0.95	269
160	33.22	6.85	4.7	3.69	2.52	1.13	324
161	31.32	9.78	4.01	3.78	2.45	0.83	297
162	32.6	8.66	4.12	3.6	2.52	0.88	270
163	32.09	9.04	4.11	3.59	2.44	0.85	277
164	32.91	8.03	4.14	3.64	2.52	0.92	254
165	31.14	8.46	5.83	3.82	2.44	1.18	415
166	32.23	7.59	5.5	3.71	2.44	1.05	348
167	33.81	5.41	5.96	3.51	2.47	1.4	120
168	33.04	6.44	5.47	3.6	2.48	1.28	225
169	31.74	9.28	2.95	4.27	2.41	0.71	241
170	33.02	5.34	7.49	3.29	2.61	1.38	235
171	32.7	4.86	8.47	3.24	2.63	2.11	203
172	32.42	9.13	2.68	4.24	2.63	0.69	337
173	32.69	8.57	2.52	4.36	2.69	0.68	350
174	32.22	9.58	2.23	4.27	2.50	0.53	122
175	29.66	11.81	2.5	4.51	2.43	0.62	310
176	33.45	7.86	2.83	4.32	2.63	0.67	411
177	30.09	10.51	3.42	4.69	2.30	0.93	126
178	31.83	8.39	4.27	3.95	2.40	1.12	161
179	31.11	8.57	5.36	3.85	2.31	1.38	390
180	30.44	9.06	5.13	4.06	2.25	1.27	310
181	29.75	10.44	4	4.4	2.29	1.04	348
182	29.42	10.59	3.94	4.46	2.23	1.12	348
183	28.94	10.9	4.88	4.15	2.17	1.38	340
184	29.21	10.06	5.4	4.16	2.20	1.45	349
185	31.9	8.12	4.88	3.76	2.38	1.26	179
186	31.17	8.6	4.96	3.89	2.32	1.21	243
187	31.12	9.26	4.14	4.23	2.35	0.95	270
188	31.6	7.92	4.8	4.43	2.38	1.09	349
189	32.88	6.63	5.32	3.9	2.44	1.27	235
190	31	8.95	4.38	4.28	2.32	1.12	238
191	30.65	9.8	3.44	4.77	2.39	0.78	327
192	31.22	9.76	2.95	4.74	2.44	0.68	269
193	32.36	9.12	2.64	4.44	2.48	0.65	201
194	31.76	9.67	2.53	4.38	2.54	0.69	256
195	33.86	7.34	2.99	3.96	2.70	0.68	344
196	30.73	8.96	3.39	5.52	2.48	0.97	345
197	30.45	9.36	2.89	5.6	2.47	0.83	313
198	34.5	6.82	2.59	4.28	2.71	0.66	104
199	25.63	12.52	3.58	7.37	2.08	0.88	263
200	29.56	9.74	3.22	6.09	2.36	0.95	369
201	34.11	7.59	2.32	4.26	2.63	0.65	304
202	33.59	8.21	2.29	4.27	2.58	0.61	258
203	32.86	8.56	2.6	4.33	2.65	0.63	331
204	31.68	10.14	2.12	4.52	2.56	0.6	448
205	31.27	10.44	1.91	4.6	2.56	0.59	317
206	31.38	10.44	2.54	4.36	2.56	0.78	254
207	31.32	10.15	2.32	4.46	2.60	0.71	332
208	31.14	9.51	3.02	4.44	2.49	0.92	361
209	34.2	7.1	3.65	3.48	2.75	0.94	161
210	31.3	9.13	3.34	4.61	2.58	0.84	198
211	31.4	7.25	6.46	3.88	2.50	1.54	228
212	31.63	7.37	5.11	4.58	2.49	1.15	264
213	34.22	6.87	2.64	4.2	2.76	0.72	137
214	34.6	6.88	2.47	4.02	2.79	0.59	226
215	33.08	7.38	3.09	4.42	2.71	0.96	353
216	30.5	9.11	3.56	5.37	2.49	1	307
217	30.26	9.65	2.97	5.52	2.45	0.85	203
218	30.54	9.09	2.87	6.12	2.43	0.73	225
219	30.92	8.62	3.73	5.29	2.47	1.05	339
220	36.76	4.02	3.71	3.43	2.76	1.16	256
221	34.24	6.22	4.53	3.66	2.57	1.23	307
222	33.83	7.08	4.4	3.52	2.53	1.22	164
223	31.13	11.11	3.1	3.58	2.34	1.19	179
224	33.69	6.75	5.31	3.2	2.57	1.55	288
225	32.55	7.87	3.53	4.58	2.63	1.09	263
226	35.62	5.65	3.14	3.94	2.79	0.92	307
227	34.46	6.61	2.96	4.16	2.74	0.93	374
228	34.64	6.08	3.01	4.3	2.79	0.99	323
229	34.96	6.14	3.16	4.04	2.80	0.92	286
230	34.71	6.28	3.16	3.98	2.76	0.93	342
231	34.09	6.63	3.18	4.33	2.75	0.99	243
232	35.04	5.36	3.54	3.98	2.83	0.89	226
233	35.12	5.6	3.17	3.9	2.79	1.05	246
234	32.05	7.56	3.71	4.66	2.48	1.09	181
235	33.74	6.3	3.77	4.06	2.69	1.22	379
236	33.69	6.35	4.12	3.99	2.71	1.22	328
237	29.38	10.02	3.79	5.2	2.41	1.03	270
238	32.8	7.9	3.02	4.48	2.53	0.83	295
239	32.07	7.95	3.42	4.69	2.50	0.94	413
240	29.83	9.77	3.53	5.3	2.38	1.08	359
241	31.04	8.78	3.36	5.17	2.47	0.98	273
242	34.92	5.19	4.76	3.49	2.66	1.46	256
243	35.81	4.14	5.1	3.42	2.70	1.42	211
244	34.73	5.72	4.4	3.53	2.65	1.27	154
245	35.49	3.99	5.85	3.58	2.76	1.22	224
246	34.39	3.87	7.71	3.3	2.65	1.88	403
247	32.34	6.83	5.41	4.42	2.53	1.25	314
248	32.38	7.22	4.87	4.22	2.47	1.2	291
249	33.22	7.48	2.93	4.45	2.66	0.98	306
250	31.25	8.28	3.77	5.08	2.50	1.32	210
251	33.43	8.53	1.65	4.46	2.57	0.5	148
252	34.06	7	2.59	4.36	2.69	0.77	229
253	33.52	7.08	3.01	4.32	2.67	1.08	328
254	28.67	10.2	3.58	6.03	2.29	1.05	203
255	26.79	11.68	3.49	6.79	2.17	0.96	336
256	25.65	12.68	2.9	7.49	2.14	0.83	313
257	26.88	10.61	5.82	5.94	2.21	1.77	247
258	30.8	9.59	3.41	4.66	2.45	0.97	183
259	30.59	9.94	3.14	4.86	2.47	0.98	280
260	30.37	10.7	3.91	3.84	2.34	1.04	393
261	32.68	7.9	4.44	3.78	2.44	1.06	279
262	34.21	6.6	3.84	3.93	2.63	0.81	129
263	32.95	6.91	5.04	3.91	2.44	1.12	309
264	32.45	7.81	4.61	3.79	2.43	1.09	305
265	33.39	7.02	3.34	4.26	2.66	1.26	546
266	31.48	10.09	2.39	4.51	2.40	0.5	441
267	31.58	8.97	2.59	4.9	2.53	0.87	338
268	32.3	8.3	2.87	4.59	2.56	0.99	529
269	35.22	5.17	4.46	3.67	2.54	0.92	212
270	28.14	9.41	6.63	5.38	2.21	1.17	241
271	34.18	6.39	3.51	4.11	2.58	0.93	103
272	33.28	6.27	5.15	3.99	2.44	1.15	213
273	34.25	5.63	5.27	3.73	2.45	1.07	296
274	34.37	6.04	4.4	3.82	2.48	1.01	324
275	34.75	5.55	4.63	3.83	2.50	1.19	304
276	34.83	5.77	3.96	3.79	2.53	0.88	176
277	31.65	7.92	5.17	4.02	2.34	1.24	218
278	35.06	6.16	3.11	3.97	2.66	0.85	263
279	32.93	7.38	4.31	3.93	2.54	0.79	383
280	32.32	8.2	3.93	4.07	2.52	0.87	362
281	33.42	8.33	2.34	4.03	2.56	0.5	128
282	32.37	8.69	3.12	4.07	2.61	0.8	203
283	31.82	8.86	3.63	4.18	2.50	0.74	334
284	27.09	12.31	4.26	5.35	2.18	1.11	399
285	34.83	6.38	2.59	4.17	2.54	0.84	409
286	32.47	7.42	4.65	4.31	2.48	0.94	372
287	32.75	6.54	5.79	4.18	2.50	1.22	416
288	29.45	9.05	5.51	5.68	2.34	0.95	179
289	34.26	6.35	4.1	3.85	2.67	0.7	186
290	33.13	6.57	4.35	4.53	2.62	0.97	274
291	33.22	6.67	4.87	4.15	2.63	1.03	293
292	33.02	6.55	4.8	4.13	2.58	1.38	313
293	33.29	7.01	4.58	4	2.57	0.96	394
294	31.93	7.8	4.18	4.73	2.54	0.92	345
295	28.87	11.55	1.91	6.04	2.35	0.45	160
296	33.71	6.26	4.95	3.91	2.58	1.1	368
297	32.41	7.99	3.82	4.41	2.50	0.82	396
298	34.03	6.26	4.26	3.86	2.78	1.16	427
299	34.18	6.05	4.53	3.75	2.81	1.13	349
300	34.37	6.72	2.84	4.07	2.91	1	174
301	35.04	5.41	4.47	3.61	2.76	0.82	231
302	35	4.76	5.36	3.53	2.79	0.96	325
303	28.57	11.91	3.79	4.58	2.32	0.84	210
304	30.94	9.55	3.63	4.34	2.49	0.9	211
305	29.99	10.29	3.24	4.88	2.43	0.76	284
306	29.77	10.17	4.43	4.43	2.40	0.99	350
307	31.85	7.93	4.61	4.12	2.53	0.99	222
308	33.66	6.74	4.43	3.76	2.62	0.83	276
309	34.64	5.8	4.35	3.66	2.70	0.87	337
310	33.55	6.6	5.24	3.67	2.61	1.01	394
311	34.66	5.42	5.28	3.56	2.71	0.81	256
312	29.9	10.49	3.61	4.88	2.45	0.7	218
313	30.78	9.53	4.3	4.63	2.52	0.89	321
314	30.77	9.11	4.68	4.58	2.50	0.98	405
315	33.39	6.19	5.52	3.88	2.65	1.23	302
316	34.66	5.51	5.41	3.68	2.70	0.85	284
317	34.63	5.2	5.68	3.6	2.72	1.07	368
318	30.03	9.6	4.34	4.95	2.48	0.94	397
319	33.25	7.05	4.61	4.04	2.67	0.86	202
320	34.43	6.63	2.95	4.23	2.71	0.67	396
321	31.77	8.53	3.99	4.31	2.57	0.98	428
322	34.73	5.56	4.63	3.73	2.79	1.02	285
323	33.07	7.35	4.13	3.92	2.78	0.98	255
324	33.59	6.35	4.86	3.77	2.78	1.17	341
325	35.12	5.09	4.68	3.71	2.81	0.96	352
326	32.36	7.17	5.48	3.96	2.58	1.04	334
327	31.61	8.82	3.7	4.52	2.56	0.69	244
328	31.22	8	5.24	4.19	2.50	1.01	344
329	33.74	5.72	5.87	3.59	2.69	1.29	428
330	33.81	5.28	6.48	3.38	2.65	1.27	212
331	23.32	14.86	6.7	5.51	1.96	0.78	189
332	27.82	10.16	8.52	3.94	2.22	1.71	281
333	33.66	5.23	7.03	3.23	2.61	1.69	441
334	36.06	3.87	5.26	3.53	2.79	0.93	349
335	36.28	3.93	4.83	3.55	2.81	0.93	213
336	36.25	3.45	5.72	3.39	2.72	1.09	85
337	36.29	3.93	4.97	3.53	2.83	0.94	287
338	36.25	4.28	5.03	3.46	2.74	0.82	347
339	36.47	4.02	4.9	3.45	2.85	0.81	469
340	35.73	4.28	5.36	3.51	2.81	0.95	583
341	36.32	4.23	5	3.28	2.87	0.85	369
342	35.97	4.61	4.38	3.59	2.85	0.76	383
343	37.17	3.2	4.71	3.48	2.89	0.81	535
344	36.87	3.7	4.07	3.57	2.91	0.75	504
345	36.35	4.15	4.64	3.38	2.84	0.93	323
346	35.55	4.69	4.88	3.64	2.79	0.8	234
347	35.67	4.42	5.06	3.45	2.83	0.93	335
348	28.39	11.26	5.26	4.45	2.23	0.79	395
349	31.6	8.89	3.99	4.15	2.49	0.68	238
350	30.9	9.14	4.56	4.33	2.43	0.67	262
351	31.43	8.88	4.71	4.18	2.45	0.72	358
352	35.69	4.41	5.44	3.48	2.72	0.9	273
353	35.14	4.69	5.66	3.62	2.67	1	246
354	34.56	5.09	5.74	3.82	2.62	0.94	290
355	33.94	6.21	4.9	4.05	2.65	0.84	389
356	33.22	7.04	4.85	3.95	2.58	0.86	270
357	33.89	6.19	5	3.91	2.66	0.81	271
358	33.9	6.4	4.88	3.91	2.58	0.85	411
359	35.22	4.94	5.32	3.66	2.66	0.8	384
360	34.7	5.67	4.84	3.73	2.67	0.82	290
361	33.05	7.27	4.52	4.18	2.60	0.89	395
362	31.33	8.7	4.77	4.36	2.48	1.11	378
363	29.72	10.68	3.75	4.78	2.39	0.91	432
364	31.68	9.4	3.05	4.54	2.52	0.69	273
365	32.76	8.04	3.39	4.43	2.54	0.73	242
366	31.28	9.4	3.46	4.84	2.45	0.72	410
367	32.07	9.02	2.75	4.56	2.50	0.65	289
368	34.14	6.94	2.75	4.53	2.61	0.6	173
369	34	6.68	3.95	4.1	2.60	0.8	271
370	32.25	6.85	6.39	4.02	2.47	0.95	350
371	37.37	4.09	2.88	3.49	2.72	0.74	317
372	38.16	3.54	2.28	3.54	2.74	0.7	328
373	32.35	8.59	2.25	5.23	2.48	0.53	376
374	29.89	8.97	7.6	3.89	2.34	1.07	166
375	33.56	7	3.95	4.25	2.61	0.66	282
376	28.6	11.44	4.66	4.88	2.35	0.88	418
377	29.54	11.09	4.06	4.57	2.41	0.75	449
378	31.88	8.35	5.04	4	2.43	0.92	226
379	24.72	14.98	3.5	6.29	2.05	0.66	217
380	29.23	11.44	2.25	5.9	2.35	0.52	220
381	32.31	8.62	2.94	4.54	2.56	0.84	180
382	33.95	6.77	3.28	4.34	2.60	0.88	363
383	32.36	8.22	2.83	5.04	2.53	0.9	405
384	32.18	8.02	3.28	5.07	2.49	0.99	311
385	35.05	5.68	3.99	3.74	2.67	1.02	220
386	31.58	8.06	4.65	4.43	2.48	1.01	225
387	34.51	6.91	2.96	3.74	2.70	0.83	346
388	35.51	5.12	3.65	3.81	2.70	0.88	309
389	35.11	5.53	4.06	3.53	2.65	0.95	340
390	34.8	5.96	2.9	4.11	2.58	0.92	392
391	31.67	8.54	3.39	5.01	2.40	0.9	226
392	37.47	3.83	3.38	3.71	2.69	0.83	265
393	38.14	3.62	2.68	3.56	2.70	0.74	432
394	37.21	4.3	2.99	3.61	2.66	0.66	369
395	37.67	3.55	3.29	3.5	2.67	0.76	190
396	32.4	6.13	7.83	3.54	2.48	1.44	256
397	29.22	8.19	8.47	4.12	2.32	1.87	414
398	31.46	6.88	7.35	3.7	2.49	1.77	345
399	31.94	6.31	6.98	3.84	2.50	1.94	243
400	33.28	6.59	4.87	3.91	2.62	1.23	272
401	32.44	6.83	6.11	3.8	2.53	1.49	348
402	32.83	6.58	5.97	3.82	2.52	1.42	340
403	31.61	7.83	5.15	4.57	2.39	1.18	245
404	28.45	10.33	5.12	5.35	2.22	1.35	315
405	33.73	6.5	3.75	4.35	2.54	0.87	265
406	22.22	14.6	5.08	7.67	1.78	1.1	297
407	24.01	13.2	5.1	7.09	1.92	1.28	268
408	34.09	5.65	5.27	3.64	2.62	1.3	194
409	32.14	7.21	5.89	3.85	2.41	1.72	308
410	30.62	7.83	6.05	4.71	2.31	1.62	277
411	30.21	8.1	5.86	4.92	2.30	1.19	186
412	34.31	5.79	4.14	4.5	2.53	0.98	131
413	27.84	9.93	6.55	5.28	2.18	1.74	313
414	34.95	6.46	2.7	4.13	2.62	0.79	319
415	33.69	7.21	2.8	4.27	2.67	0.79	279
416	30.94	9.68	2.89	4.71	2.50	0.91	161
417	34.36	6.83	2.63	4.32	2.69	0.72	287
418	31.47	9.36	2.41	4.87	2.57	0.74	294
419	23.84	12.81	6.19	6.91	1.87	1.47	205
420	26.47	11.92	4.34	6.55	2.04	1.27	412
421	30.7	8.93	4.17	4.98	2.34	1.2	249
422	30.52	10.71	3.28	4.25	2.34	0.98	243
423	31.68	8.89	3.67	4.31	2.35	0.93	257
424	30.77	11.12	2.76	4.17	2.32	0.78	331
425	30.3	11.21	2.74	4.45	2.26	0.86	327
426	30.92	10.25	2.61	4.49	2.30	0.69	243
427	32.45	7.83	4.52	4.01	2.50	0.83	249
428	31.37	9.08	4.11	4.1	2.40	0.79	364
429	32.39	8.29	4	4	2.52	0.74	379
430	29.05	10.8	5.1	4.29	2.23	0.96	203
431	31.32	8.96	4.87	3.92	2.43	0.88	313
432	30.44	9.43	5.31	4.03	2.35	1.05	314
433	29.51	10.28	5.61	4.34	2.27	0.91	427
434	31.13	9.26	4.23	4.41	2.47	0.83	321
435	35.29	5.54	2.76	3.81	2.57	0.68	482
436	33.54	7.14	3.68	4.12	2.66	0.91	210
437	33.99	6.44	3.78	4.17	2.67	1.06	204
438	32.81	8.07	2.99	4.44	2.65	0.83	198
439	33.07	7.63	3.85	4.19	2.63	0.88	257
440	33.61	7.26	3.34	4.21	2.71	0.9	258
441	32.2	8.22	3.19	4.82	2.57	0.94	444
442	32.01	8.87	2.63	4.73	2.65	0.99	196
443	31.18	10.02	2.72	4.51	2.45	0.83	435
444	30.99	10.27	2.55	4.5	2.36	0.71	418
445	31.34	10.21	2.52	4.31	2.39	0.79	341
446	30.75	10.68	2.13	4.58	2.50	0.8	229
447	30.78	11.38	1.89	4.36	2.35	0.58	378
448	29.97	11.2	2.8	4.39	2.31	0.69	348
449	31.06	9.94	3.56	4.16	2.36	0.69	295
450	32.64	8.59	3.02	4.08	2.48	0.68	235
451	29.9	10.99	2.98	4.57	2.36	0.69	317
452	32.1	8.73	3.75	3.99	2.41	0.74	210
453	32.82	8.26	2.62	4.24	2.60	0.79	155
454	31.76	9.4	3.18	4.08	2.49	0.81	313
455	31.79	9.41	3.58	3.88	2.43	0.78	303
456	31.52	8.72	4.91	4.02	2.41	0.97	302
457	31.26	9.31	3.9	4.31	2.48	0.85	273
458	31.63	8.36	4.9	4.29	2.52	1.05	248
459	31.63	9.6	2.98	4.37	2.52	0.95	211
460	34.45	5.95	5.15	3.59	2.65	1.04	329
461	34.52	5.46	5.74	3.57	2.56	1.18	282
462	34.49	7.05	3.17	3.91	2.58	0.6	191
463	34.33	6.88	3.81	3.85	2.62	0.75	289
464	31.68	9.53	3.86	4.09	2.47	0.64	337
465	32.25	8.61	3.08	4.6	2.61	0.93	202
466	31.98	8.58	2.92	4.61	2.62	1.07	246
467	32.54	8.58	2.89	4.35	2.54	0.91	299
468	31.98	9.49	2.66	4.31	2.53	0.87	349
469	32.23	9.16	2.58	4.29	2.49	0.86	308
470	33.25	8.32	2.52	4.17	2.53	0.8	321
471	33.73	8.36	2.28	3.94	2.48	0.66	333
472	33.26	8.39	2.1	4.29	2.47	0.66	313
473	31.18	10.36	1.91	4.76	2.40	0.57	292
474	29.78	11.42	1.72	5.61	2.30	0.42	363
475	32.68	8.47	3.16	4.1	2.50	0.84	347
476	31.17	8.93	4.7	4.02	2.39	1.09	331
477	32.84	7.89	3.78	3.86	2.56	0.95	294
478	32.24	8.11	4.49	3.8	2.47	1.17	238
479	31.95	7.83	5.45	3.74	2.41	1.28	332
480	33.79	6.34	5.01	3.68	2.52	1.06	314
481	32.8	7.67	5.05	3.77	2.49	1.05	240
482	33.62	6.78	4.8	3.73	2.61	1.13	314
483	33.15	7.27	4.85	3.79	2.53	0.94	357
484	31.81	9.44	3.49	4.21	2.50	0.6	266
485	31.11	10.05	3.58	4.3	2.45	0.65	275
486	31.69	9.99	2.92	4.22	2.43	0.57	297
487	31.76	9.89	2.88	4.31	2.44	0.56	315
488	30.69	11.03	2.73	4.52	2.38	0.51	255
489	32.15	9.35	3.14	4.33	2.49	0.57	478
490	31.51	10.13	2.48	4.39	2.43	0.5	429
491	29.06	12.38	2.6	4.77	2.31	0.54	250
492	30.36	11.54	2.01	4.67	2.41	0.42	224
493	31.2	9.55	3.92	4.46	2.39	0.67	342
494	32.84	8.6	3.24	4.17	2.53	0.62	232
495	31.13	7.83	6.89	3.7	2.26	1.59	318
496	29.28	9.66	7.28	3.57	2.16	1.82	229
497	34.56	4.68	6.53	3.46	2.45	1.37	178
498	32.27	7.12	5.91	3.84	2.35	1.33	291
499	30.93	6.78	8.3	3.65	2.25	1.77	416
