Zeolite	Origin	Group	Na	K	Mg	Ca	Sr	Ba	Fe+++	Al	Si	H2O
1	2	2	5.9	3.8	1.6	2	0	0	0	17.4	82.7	59.8
1	2	2	3.9	4.4	1	4.2	0	0	1	19.4	80.1	46.8
1	2	2	10.4	3	0.3	0.6	0	0	0	15.2	84.7	52.7
1	2	2	1.6	2.7	3.8	4.2	0.3	0.1	1.4	18.5	79.9	61.3
1	2	2	4.9	3.6	2.3	3.1	0.1	0.1	1	19.4	79.8	69.4
1	2	2	1.6	2.2	3.6	3.9	0.2	0	0.4	18.7	80.9	69.8
1	2	2	11.3	2.5	1.2	0.4	0.2	0	0.7	17.2	82.2	59.9
1	2	2	9	1.5	3.1	1.3	0	0	2.1	18.5	79.7	67.7
1	2	2	6.9	5.2	2.3	2.3	0.1	0.1	1.6	20.2	78.3	63.2
1	2	2	1	6.7	2.1	2.5	0	0	0.8	16.5	82.6	57.9
1	2	2	5.4	8.6	0.3	1.4	0	0	0	19.1	81.3	43.4
1	2	2	5.6	6	0.3	2.3	0	0	0	17.7	82.5	39.8
1	2	2	6	2.9	2.7	3.1	0	0	0.6	18.6	80.5	62.8
1	2	2	10.5	3.6	0.6	1.7	0	0.3	0.4	18.4	81.1	56.7
1	2	2	4.6	7.7	1.7	1.3	0	0	0	19.2	81.1	85.9
1	2	2	1.4	7.8	1.4	2.6	0	0	0	17.9	82.2	81.9
1	2	2	3.9	8	0.5	1.4	0	0	0	16.8	83.5	36.4
1	2	2	4.9	9.8	0.5	0.6	0	0	0	17.5	82.7	53.9
1	2	2	2.4	12.2	0.5	0.7	0	0	0	17	83	35.9
1	2	2	2.9	12.3	0.4	0.7	0	0	0	17.7	82.4	32.3
1	2	2	3.3	10.6	0	0.8	0	0	0	16.7	83.6	38.2
1	2	2	3.4	8.1	0.8	1.7	0	0	0	17.1	83	59.7
1	2	2	5.5	9.6	0.6	0.7	0	0	0	17.2	82.7	50.4
1	2	2	5	8.1	0.4	1.1	0	0	0	16.7	83.5	45.2
1	2	2	6.6	7.2	0.4	1.4	0	0	0	17.5	82.6	32.5
1	2	2	1.6	5.2	0.7	4	0	0	0	17.6	82.7	42.3
1	2	2	1.8	7.5	0.6	3.3	0	0	0	17.1	82.9	55.2
1	2	2	1.7	9.4	1.2	1.2	0	0	0	17.4	83	53.3
1	2	2	0.9	4.2	1.2	4.4	0	0	0	17	83.2	50.8
1	2	2	1.1	4.1	1.8	4.5	0	0	0	17	82.8	59
1	2	2	2.2	11	1.7	0.6	0	0	0	17.9	82.1	51
1	2	2	2.7	10.1	1.1	0.6	0	0	0	17.1	83.2	53.8
1	2	2	2.9	9.9	1.1	0.8	0	0	0	17.3	82.6	44.6
1	2	2	6.2	4.3	0	2.8	0	0	0	16.1	83.9	49.7
1	2	2	3	7.5	0.9	2.4	0	0	0	17.5	82.6	61
1	2	2	4.5	3.1	1.6	3.4	0	0	0.4	17.1	82.5	59.3
1	2	2	4.3	4	2.3	2.4	0	0	1.3	17	81.9	61.1
1	2	2	4.2	6	21	2.5	0	0	0.4	18.5	81.1	55.1
1	2	2	10.4	6.6	1	1.2	0	0.1	0.6	20	79.2	63.2
1	2	2	1.9	3	2.7	5.3	0.6	0.4	0.7	21.9	77.3	74.4
1	2	2	4.9	9.8	0.5	0.6	0	0	0	17.5	82.7	53.9
1	2	2	5.5	9.6	0.6	0.7	0	0	0	17.2	82.7	50.5
1	2	2	1.8	7.5	0.6	3.3	0	0	0	17.1	82.9	55.2
1	2	2	2.9	8.3	1.1	1.5	0	0	0	16.3	83.3	39.2
1	2	2	1.1	4.1	1.8	4.5	0	0	0	17	82.8	59
1	2	2	3	10	1.1	0.8	0	0	0	17.3	82.8	44.8
1	2	2	3.9	4.4	1	4.2	0	0	1	19.4	80.1	46.8
1	2	2	10.6	2.7	0.3	2.3	0	0	0	19.3	80.9	46.8
1	2	2	5.9	1.2	0.2	5.2	0	0	0	18.2	81.9	49.1
1	2	2	0.2	0.8	2.5	5.3	0	0	0	18	82.4	34.5
1	2	2	10.4	4.1	1.8	2.4	0	0	1.7	20.7	77.5	59.6
1	2	2	12.3	3.2	1.3	1.7	0	0	0.6	19.8	79.4	45
2	1	3	25.9	8.7	0.5	1.6	0.4	0	0.1	37.8	61.7	95.6
2	1	3	24.2	5.7	0.2	0.2	0.3	0	0.2	34.6	64.9	97.1
2	1	3	16.3	1.5	0	6	0.1	0	0.1	31	69.2	99.8
2	1	3	1.4	7.6	0.1	10.8	4.7	0.5	0.1	41.1	58.8	110
2	1	3	2.3	11.3	0.1	8.6	3.4	0.5	0.1	40.6	59.7	109.6
2	1	3	0.8	7.2	0.2	11.5	4	0.8	0.2	40.3	59.5	115.9
2	1	3	1.3	9	0.2	10.9	4.8	0.3	0.2	41	58.5	112.9
2	1	3	2.6	3.4	0.9	10.9	0.4	0.1	1.4	29.9	69	104
2	1	3	13.3	1	0	9.4	0.1	0	0.1	32.7	67	118.5
2	1	3	2.2	1.7	0.2	11.6	0.4	0	0.2	28.2	71.7	107.9
2	1	3	0.9	0.3	0	12.1	5.1	0	0.1	34.7	65	121.8
2	1	3	0.5	4	0.2	10.9	1.2	10	0.1	30	70.1	105.5
2	1	3	0.3	1.7	0.1	15.5	0.3	0	0.1	32.8	66.9	109.7
2	1	3	0.7	1.5	0.5	12.9	1.1	0	0.1	31.1	68.8	107
2	1	3	1.3	3.3	1.2	8.5	0.5	0.2	1.1	26.7	72.8	26
2	1	3	12.1	3.2	0.1	8.6	0.6	0.2	0	34.2	65.8	104.8
2	1	3	7.7	1.1	0	10.4	0.4	0.1	0	31.4	68.8	107.1
2	1	3	10.6	4.4	0	8.4	10.4	0	0	32	67.8	109.2
2	1	3	1.4	1.3	0.1	14.2	0.1	0	0	31	68.9	116
2	1	3	0.6	3.5	2.5	7	0.3	0.7	0.6	26.4	73.4	90.3
2	1	3	3.7	1.3	0.2	13.8	0	0	0	31.7	68	103.9
2	1	3	2.9	0.8	0	12.3	0.3	0.6	0	29.4	70.4	105.5
2	1	3	0.5	6.1	0.9	9.7	0.4	0.4	0	28.9	71	102.3
2	1	3	1.6	1.9	0	9.6	1.6	1.2	0	28.7	71.5	102
2	1	3	1.4	2.7	0.1	12.4	0.3	0.3	0	28.2	71.2	103.7
2	1	3	2.1	3.2	0	13.6	0	0	0.4	30.1	69	97.9
2	1	3	0.3	3.5	0	8.3	3.4	0.4	0	30.6	70.1	106.4
2	1	3	8.2	17.1	0.9	3.9	0.1	0.1	0.7	36.4	63.4	95.2
2	1	3	1.9	8.1	1.6	8	0.3	0	0	28.3	71.4	101.4
2	1	3	0.1	3.8	0.1	14.9	1.3	0	0	34.2	65.1	102.9
2	1	3	1.5	4.5	0	11.1	0.3	0	0	29	71	127.9
2	1	3	3	5.1	0	11.5	0	0	1	28.9	69.8	105.9
2	2	4	13.6	1.1	1.6	1.6	0	0	0.1	20.5	79.3	34.2
2	2	4	1.9	4.3	5.6	3.6	0.1	0	2	21.3	76.3	83.8
2	2	4	1.4	1.8	0.6	7.5	0	0	0.4	19.2	80.4	76.1
2	2	4	16.2	6	2.2	0.8	0	0	0.6	29.4	70.5	82.3
2	2	4	24.2	2.6	0	2	0	0	0.6	27.8	71	90.9
2	2	4	1	8	1	9.7	1.2	0.1	0.8	34.8	65.1	110
2	2	4	1.1	10.8	1.4	7.7	0.1	0.1	1.7	31.3	67.6	90
2	2	4	0.9	7.3	1.3	9.3	0.2	0.1	0.7	29.5	69.9	96.5
2	2	4	1.9	11	1.2	8.7	0.5	0.2	1.4	32.7	65.9	95.5
2	2	4	0.2	2.2	0.5	9.7	7.3	0.7	0	36.4	63.1	112.1
2	2	4	0.9	11.5	0.8	8.7	0.3	0	0.5	30.4	68.8	95.1
2	2	4	0.8	10.4	0.5	9.1	0.2	0	0.5	28.9	70.3	97.9
2	2	4	2.1	10.1	1.1	6.1	0	0	1.3	26.6	72.4	82.2
2	2	4	0.7	4.8	0.8	10.7	0.2	0	0.1	29.8	70.4	101.3
2	2	4	6.4	2.3	0.8	5.5	0	0	0.4	22.5	77.5	82.1
2	2	4	2	3	2.5	5.3	0	0	0.6	21.3	78.6	84.5
2	2	4	10.2	0.7	2.5	5.3	0	0	5.7	20.2	74	105.2
2	2	4	5	6.3	2.1	6.7	0.7	0.2	0	29.8	69.9	93.6
3	1	5	2.3	7.5	0	8	0	0	0	25.4	74.5	89.5
3	1	5	2.6	4.3	2.4	6.3	0	0	1.1	24.5	74.7	87.1
3	1	5	1	5.6	5.9	3.6	0	0	0	26.1	73.9	95.2
3	1	5	0.4	7	2.3	6.5	0	0	0	25	75	71.2
3	1	5	1.4	7.7	0.6	6.7	0	0	0	24.9	75.4	56.5
3	1	5	0.5	6	1.7	7.2	0	0	0.1	24.1	75.8	56.3
3	1	5	4.1	7.6	2	3.3	0	0	0	23.8	76.6	44.2
3	1	5	3.7	5.8	2.2	4.2	0	0	0	24.4	76.2	77.8
3	1	5	1.3	6.6	3.3	5.7	0	0	0	23.6	75.8	73.6
3	1	5	1.5	4.4	0.4	10.7	0	0	0.2	25.4	73.8	86.2
3	2	6	16.1	7	0.3	0	0	0	2	21.9	76.2	67.8
3	2	6	4.6	11.5	1.5	2.1	0	0	3.4	20.2	76.5	44.3
3	2	6	15	6.1	0.3	0	0	0	0.7	21.9	77.7	66.5
3	2	6	1.6	8.2	2.3	3.8	0	0	0.4	22.1	77.7	73
3	2	6	15.4	5.5	0.5	0.3	0	0	1.5	20.8	77.7	67.6
3	2	6	8.8	7.2	0.9	1.3	0	0	1.3	20.4	78.4	65.9
3	2	6	10.4	8.8	0.4	0.8	0	0	1.4	20	78.5	57.3
3	2	6	12.2	6.1	3	1.6	0	0.1	0.2	26.1	73.4	68.7
3	2	6	2.8	7.9	0.8	4.7	0	0	0.1	22.7	77.3	79.2
3	2	6	6	7.1	1.4	2.5	0	0	0.6	21.4	78.3	70.4
4	1	7	3.9	14.3	0	11.2	0.2	0	0.1	39.8	59.8	80.4
4	1	7	6.6	22.2	0.1	4.1	0.1	0	0.1	38.6	61.6	71.9
4	1	7	1.8	12.5	0.1	13.1	0.2	0.1	0.1	40.3	59.5	84.6
4	1	7	2.6	15	0	12.3	0.2	0	0.1	39.8	59.4	81.8
4	1	7	2.8	11.9	0.1	12.6	0.2	0.2	0.1	42.7	57.6	86.9
4	1	7	26.1	4.2	0.2	1.6	0	0	0.1	35.2	65	85.4
4	1	7	21	5.8	0.1	4	0	0.2	0.1	35.4	64.6	77.6
4	1	7	26.2	5.5	0.1	2.6	0	0	0.1	35.4	64.2	76.6
4	1	7	6.2	11.7	0.1	8.4	0.1	0.3	0	36.2	64	75.4
4	1	7	22.2	5.8	0	3.4	0	0.1	0.1	33.7	65.9	80.2
4	1	7	8.8	23.7	0.1	3.2	0	0	0.1	41	59.4	71.8
4	1	7	1.3	4.3	0.2	9.3	0.1	0.7	0.2	25.8	74	83.3
4	1	7	2.7	7.1	0.2	9.1	0.1	0.6	0.2	30.4	69.5	83.8
4	1	7	1.1	11.6	0.5	7.2	0	0.3	0.1	28.6	71.2	76.9
4	1	7	0.5	11.5	0.2	11.4	0	0.2	0.1	35.2	64.6	30.4
4	1	7	1.2	11.2	0.1	13.3	0	0	0.3	38.7	61	80.8
4	1	7	3.6	10.7	0	7.8	0	0	0.1	31.5	68.8	79.2
4	1	7	1.1	11.6	0.1	10.9	0	0.4	0.1	35.9	64.2	78.6
4	1	7	1	11.7	0.1	11.1	0	0	0	36	64.2	76.88
4	1	7	1	12.1	0.1	11.5	0	0.5	0	36	63.7	76.7
4	1	7	10.8	11.5	0	5.7	0	0	0	35.3	65.1	76.6
4	1	7	8.4	9.9	0	8.5	0	0	1	35.1	64	79.9
4	1	7	0.8	4.5	0.1	10	0.1	2.4	0.1	31.2	68.9	81.1
4	1	7	5	3.9	11	12.5	0	0	0.4	37.6	62.5	95.3
4	1	7	3.2	9.4	0.8	7.3	0	0	0	31.1	69.4	61.7
4	1	7	5.3	10.5	0.1	5.8	0	0	0	27.7	72.3	59.3
4	1	7	6.7	10.1	0	3.5	0	0.8	0	23.8	75.8	46.3
4	1	7	0.3	6.2	0	8.5	0.5	2.6	0.1	31.5	68.9	78
4	1	7	1.2	6.6	0	9.2	0.6	2.7	0	35.2	65.4	71.9
4	1	7	0.6	4.3	0.9	7.2	0	4.7	0	33.3	67.4	111
4	1	7	0.9	6.4	1.2	8.2	0	3.6	0	33.7	66.4	127.2
4	1	7	1.4	5	0.4	6.6	0	4.4	0	29.6	70.5	73.9
4	1	7	0.8	17.6	0	5.4	0	1.3	0.2	34.5	66	75.1
4	1	7	0.7	13.8	0	10.2	0	0.4	0.1	36.4	63.7	74
4	1	7	2.5	11.1	0	10	0	0.1	0.1	34.4	65.8	86.3
4	1	7	1.6	14.6	0	10	0	0.2	0	34.8	64.7	77.3
4	1	7	20.2	7.6	0.2	3.3	0	0	0.8	33	66	73.8
4	1	7	2.8	15.5	0	8.1	0	0	0.2	35.6	64.6	72.1
4	2	8	11	11.8	1.3	0.7	0	0	0	27.3	72.8	64.4
4	2	8	10.6	11.5	1.6	0.8	0	0	0	26.8	73.2	61.9
4	2	8	7.6	11.3	1.3	2.1	0	0.1	0	26.5	73.7	68.7
4	2	8	10	12.9	0.6	1.7	0	0.1	0	27.7	72.4	71.1
4	2	8	10	12.9	0.6	1.7	0	0.1	0	28.6	71.6	68.8
4	2	8	7.1	11.8	0.4	3.2	0	0.1	0	27.8	72.6	69.4
4	2	8	14.6	12.7	0.2	0.1	0	0	0	29.2	71.2	76.9
4	2	8	14.5	12.5	0	0.9	0	0	0	27.9	72.3	68.3
4	2	8	14	11.1	1.1	1.1	0	0	0	28.5	71.2	74
4	2	8	2.9	8.3	0.6	7.9	0	0.4	0	26.8	71.2	79.8
4	2	8	11.2	11.3	1.4	1.4	0	0.1	0	28.8	71.3	64.2
4	2	8	9.1	12.1	0.6	1.4	0	0	0	27.7	72.9	70.7
4	2	8	12.5	11.2	0	0.5	0	0	0	27.1	73.5	49.4
4	2	8	12.1	11.3	0.6	1.1	0	0	0	27.9	72.4	72.2
4	2	8	11.2	9.9	0.8	1.4	0	0	0	27.6	73	65
4	2	8	9.1	14	0	1.8	0	0	0	28.6	71.9	58.9
4	2	8	9.2	11.7	1.1	1.6	0	0	0	28.6	72	58.9
4	2	8	5.7	12.2	0.9	3.4	0	0	0	27.5	72.8	71.3
4	2	8	5.9	11.8	0.4	4.4	0	0	0	27.9	72.3	52
4	2	8	14.1	10.5	0	0.1	0	0.13	1.2	23.9	75	66.2
4	2	8	4	6.3	1.3	5.3	0.1	1	0	24.2	75.4	70.3
4	2	8	6.7	13.7	0.5	3.3	0	0.1	0	27.5	72.4	74.2
4	2	8	1.9	13	0.1	6.1	0	0	0	27.5	72.6	66.4
4	2	8	2	13.3	0.4	6.4	0	0	1.1	27.3	71.2	68.7
4	2	8	1.9	13.9	0.1	6.6	0	0.7	0	28.2	71.3	73
4	2	8	3.4	15.4	0	5.3	0	0.1	0.1	29.1	70.7	79.4
4	2	8	2.7	16.1	0	5.7	0.1	0.1	0.3	29.6	70	79.8
4	2	8	2.9	17.1	0	5.3	6.1	0.2	0.2	30	69.5	80.2
4	2	8	5.9	11.8	0.4	4.4	0	0	0	27.9	72.3	52
4	2	8	9.1	14	0	1.4	0	0	0	28.6	71.9	58.9
4	2	8	11	11.8	1.3	0.7	0	0	0	27.3	72.8	64.4
4	2	8	14.6	12.7	0.2	0.1	0	0	0	29.2	71.2	76.9
4	2	8	14	11.1	1.1	1.1	0	0	0	28.5	71.2	74.1
4	2	8	11.7	11.1	0.4	0	0	0	0.8	22.5	76.7	69.7
4	2	8	14.1	9.9	0.2	0	0	0	0.5	23.4	76	71
4	2	8	17.9	5.9	0.5	0.1	0	0	0.4	24.1	75.4	73.4
4	2	8	12.7	10.2	1.2	1	0	0	0	26.7	72.2	64.4
4	2	8	13.8	6	0.2	2.6	0	0	1.3	23.8	74.9	71.1
4	2	8	9.3	8.5	1.2	1.9	0	0	0.9	23	76.1	59.9
4	2	8	10.5	8.6	0.9	1.2	0	0	0.7	22.3	77	60.3
5	1	9	30.8	0.1	0	0	0	0	0	32.2	68.2	38
5	1	9	31	0.1	0	0	0	0	0	31.8	68.4	38
5	1	9	32.8	0.1	0	0.1	0	0	0	33.6	66.5	38
5	1	9	32.6	0.1	0	0.1	0	0	0	32.6	67.3	38
5	1	9	32.1	0.1	0	0.2	0	0	0	33.5	66.8	38
5	1	9	31.6	0.1	0	1.2	0	0	0	34	65.9	38
5	1	9	32.7	0.2	0	0.1	0	0.01	0	32.5	67.4	38
5	1	9	28.8	1.6	1.7	1.4	0	0	1.4	33.7	64.6	36.4
5	1	9	29.9	1.1	0.6	1.2	0	0	1	33.4	65.6	32.7
5	1	9	30.9	0.4	0	0.9	0	0	1.2	34.6	64.9	34.2
5	1	9	20.8	7.2	0.8	1.6	0	0	1.3	34.4	65.1	40.5
5	1	9	35.8	1.2	0	1.9	0	0	1.2	39.5	59.3	35.2
5	1	9	34.2	0.8	0	0	0	0	1.2	37	62.7	34.8
5	1	9	33.7	0.2	0	0.1	0	0	0.2	33.2	66.5	34.6
5	1	9	30.5	0.6	0	1.3	0	0	0.6	35	64.9	34.2
5	1	9	26.1	2.7	0.2	2	0	0	0	34	66.2	32.8
5	1	9	31.4	0.5	0	0	0	0	0.5	33.2	66.8	35.5
5	1	9	23.6	3.4	0.3	1.1	0	0	0	31.2	69.2	35.6
5	1	9	32	0	0.1	0.5	0	0	0.1	34	66.2	34.8
5	1	9	31.7	0	0.1	1.1	0	0	0.1	33.7	66.2	35
5	1	9	28.9	0.1	0.3	0.6	0	0	0.1	32.1	68.2	34.4
5	1	9	30.4	0	0	1.5	0	0	0.1	34.5	65.7	37.6
5	1	9	35.8	1.2	0	1.9	0	0	1.2	39.5	59.3	35.2
5	1	9	33.5	1.2	0	0.9	0	0	1.4	36.5	62.4	32
5	1	9	34.2	0.8	0	0	0	0	1.2	37	62.7	34.8
5	1	9	31.4	0.5	0	0	0	0	0.5	33.2	66.8	35.5
5	1	9	32.8	0.1	0	0	0	0	0	33	67	34.7
5	1	9	31.6	0.2	0.1	0	0	0	0	32	68	32.9
5	1	9	31.9	0.2	0	0	0	0	0.1	32.9	67.2	37.1
5	1	9	28.8	0	0	0.2	0	0	0.1	30.8	69.5	36.4
5	1	9	31.2	0.6	0	2.1	0	0	1.1	31.5	66.5	37.6
5	1	9	30.3	0.2	0	0.4	0	0	0.7	32.6	67.2	36.4
5	1	9	32	0.5	0	0.3	0	0	1	33	66.2	35.5
5	1	9	31.9	1.3	0	0.5	0	0	2.2	31.7	66	36.3
5	1	9	31.5	0.1	0	0.4	0	0	0.5	33.3	66.6	38.6
5	1	9	32.3	0.1	0	0.5	0	0	0.6	32.6	66.8	38.8
5	1	9	32	0.3	0	0.1	0	0	0.8	33	66.5	41.6
5	1	9	30.9	0	0	0	0	0	0	31.6	68.6	37.6
5	1	9	31.2	0.5	0	0.1	0	0	0	33.5	66.9	34.2
5	1	9	33.2	0	0	0.2	0	0	0.1	33.3	66.6	33.1
5	1	9	25.4	0	0	3.5	0	0	0.3	29.8	69.3	34.6
5	1	9	31.4	0.6	0	0	0	0	0.5	31.8	67.7	35.2
5	1	9	29.7	0.2	0	1	0	0	0	33.8	66.7	33.2
5	2	10	28.1	0.1	0	0	0	0	0	28.4	71.7	34.7
5	2	10	27.2	0.2	0	0.3	0	0	0	30.7	70.1	35.5
5	2	10	26.6	0	0	1.6	0	0	0.2	291.2	70.5	37.6
5	2	10	27.7	0.1	0	0.7	0	0	0.1	29.2	70.8	38.6
5	2	10	25.7	1.6	0.1	0.1	0	0	0.9	25.7	73.2	35
5	2	10	23.2	2.3	1.5	0.7	0	0	2	25.7	71.8	35
5	2	10	26	0.6	0.4	0.2	0	0	0.9	27.9	71.5	33.4
5	2	10	25.9	0.3	0.3	0.2	0	0	0.3	27.9	72.1	35.8
5	2	10	9.8	0.2	0.1	10.8	0	0	0.4	29.6	69.5	38.3
5	2	10	15.5	0.3	0.8	8.1	0	0	0	30.7	68.6	36.4
5	2	10	25.6	0.1	1.3	1.9	0	0	0	29	70.3	36.9
5	2	10	29.7	0.3	0	0	0	0	0	29.7	70	34
5	2	10	28	0.1	0.7	0.3	0	0	0	29.3	70.7	34
5	2	10	25.9	2.1	0.8	0.2	0	0	0.1	32.2	68.3	44.6
5	2	10	31.4	0.3	0.6	0	0	0	0.1	29.8	69.4	36.7
5	2	10	26	0.2	0.9	1	0	0	1	26.3	72	36.1
5	2	10	29.8	0.3	0.1	0	0	0	0	29.8	70.1	49.4
5	2	10	28	0.4	0.6	0.3	0	0	0.1	29.4	70.4	33.4

Zeolite: 1 = Huelandite; 2 = Chabazite; 3 = Erionite; 4 = Phillipsite; 5 = Analcime
Origin: 1 = Hydrothermal; 2 = Sedimentary
