Number	Y (km)	X (km)	25	5	1	0.2	Lab	Pb (g/t)	Log Pb	Fe (%)	Log Fe
53	5478.88	5131.68	12	2	2	1	1	17	1.230449	2.46	0.390935
54	5479.18	5131.94	12	2	2	2	1	23	1.361728	2.88	0.459392
55	5472.475	5100.613	13	1	1	1	1	29	1.462398	5.56	0.745075
56	5472.475	5100.613	13	1	1	1	2	24	1.380211	5.52	0.741939
57	5472.938	5105.9	13	2	1	1	1	21	1.322219	3.75	0.574031
58	5474.6	5107.18	13	2	2	1	1	27	1.431364	4.04	0.606381
59	5474.49	5107.13	13	2	2	2	1	26	1.414973	4.67	0.669317
60	5474.49	5107.13	13	2	2	2	2	19	1.278754	4.43	0.646404
61	5462.775	5076.35	14	1	1	1	1	30	1.477121	1.62	0.209515
62	5472.54	5067.97	14	2	1	1	1	31	1.491362	1.12	0.049218
63	5475.33	5066.63	14	2	2	1	1	18	1.255273	1.2	0.079181
64	5474.74	5066.74	14	2	2	2	1	14	1.146128	1.09	0.037426
65	5493.77	5151.41	15	1	1	1	1	22	1.342423	1.34	0.127105
66	5503.75	5155.6	15	2	1	1	1	27	1.431364	4.38	0.641474
67	5503.75	5155.6	15	2	1	1	2	22	1.342423	4.39	0.642465
68	5499.64	5153.89	15	2	2	1	1	56	1.748188	4.42	0.645422
69	5499.72	5153.42	15	2	2	2	1	62	1.792392	3.93	0.594393
70	5491.92	5125.96	16	1	1	1	1	24	1.380211	2.82	0.450249
71	5483.22	5136.11	16	2	1	1	1	16	1.20412	2.45	0.389166
72	5483.22	5136.11	16	2	1	1	2	15	1.176091	2.4	0.380211
73	5485.46	5136.26	16	2	2	1	1	15	1.176091	3.24	0.510545
74	5485.38	5136.29	16	2	2	2	1	16	1.20412	3.37	0.52763
75	5492.68	5100.68	17	1	1	1	1	28	1.447158	3.28	0.515874
76	5492.68	5100.68	17	1	1	1	2	34	1.531479	3.35	0.525045
77	5486.89	5100.49	17	2	1	1	1	971	2.987219	4.23	0.62634
78	5489.33	5101.94	17	2	2	1	1	87	1.939519	3.42	0.534026
79	5489.47	5102.18	17	2	2	2	1	97	1.986772	3.03	0.481443
80	5489.47	5102.18	17	2	2	2	2	91	1.959041	2.98	0.474216
81	5517.52	5151.28	19	1	1	1	1	36	1.556303	3.21	0.506505
82	5527.38	5155.23	19	2	1	1	1	27	1.431364	3.34	0.523746
83	5528.58	5157.11	19	2	2	1	1	22	1.342423	2.86	0.456366
84	5528.43	5157.18	19	2	2	2	1	24	1.380211	3.95	0.596597
85	5517.05	5125.87	20	1	1	1	1	19	1.278754	3.33	0.522444
86	5521.35	5125.76	20	2	1	1	1	23	1.361728	2.74	0.437751
87	5522.05	5124.34	20	2	2	1	1	37	1.568202	3.69	0.567026
88	5522.34	5124.47	20	2	2	2	1	49	1.690196	2.53	0.403121
89	5517.72	5100.72	21	1	1	1	1	28	1.447158	2.69	0.429752
90	5516.98	5090.34	21	2	1	1	1	20	1.30103	2.43	0.385606
91	5516.83	5093.58	21	2	2	1	1	25	1.39794	2.92	0.465383
92	5516.9	5093.33	21	2	2	2	1	25	1.39794	2.5	0.39794
93	5517.58	5076.3	22	1	1	1	1	19	1.278754	2.2	0.342423
94	5526.48	5075.96	22	2	1	1	1	10	1	0.73	-0.13668
95	5527.37	5074.94	22	2	2	1	1	20	1.30103	2.18	0.338456
96	5527.62	5075	22	2	2	2	1	54	1.732394	3.29	0.517196
97	5515.95	5049.44	23	1	1	1	1	40	1.60206	3.49	0.542825
98	5515.95	5049.44	23	1	1	1	2	39	1.591065	3.42	0.534026
99	5512.91	5041.64	23	2	1	1	1	24	1.380211	2.65	0.423246
100	5514.56	5042.95	23	2	2	1	1	15	1.176091	2.82	0.450249
101	5514.83	5042.92	23	2	2	2	1	28	1.447158	3.35	0.525045
102	5543.47	5149.84	24	1	1	1	1	23	1.361728	4.34	0.63749
103	5547.25	5155.72	24	2	1	1	1	36	1.556303	4.46	0.649335
104	5547.25	5155.72	24	2	1	1	1	36	1.556303	4.46	0.649335
105	5547.64	5154.83	24	2	2	1	1	61	1.78533	5.18	0.71433
106	5547.58	5154.66	24	2	2	2	1	24	1.380211	6.35	0.802774
107	5542.38	5125.9	25	1	1	1	1	16	1.20412	2.52	0.401401
108	5542.38	5125.9	25	1	1	1	2	15	1.176091	2.47	0.392697
109	5538.15	5130.84	25	2	1	1	1	18	1.255273	3.31	0.519828
110	5537.83	5132.98	25	2	2	1	1	23	1.361728	3.94	0.595496
111	5538.16	5133.01	25	2	2	2	1	19	1.278754	4.02	0.604226
112	5542.67	5100	26	1	1	1	1	14	1.146128	2.61	0.416641
113	5532.85	5105.14	26	2	1	1	1	21	1.322219	3.25	0.511883
114	5531.64	5105.6	26	2	2	1	1	22	1.342423	4.13	0.61595
115	5531.82	5105.18	26	2	2	2	1	21	1.322219	3.15	0.498311
116	5568.94	5150.84	27	1	1	1	1	13	1.113943	3.4	0.531479
117	5568.94	5150.84	27	1	1	1	2	14	1.146128	2.97	0.472756
118	5572.35	5160.5	27	2	1	1	1	21	1.322219	3.56	0.55145
119	5572.35	5160.5	27	2	1	1	2	16	1.20412	3.39	0.5302
120	5571.83	5162.21	27	2	2	1	1	14	1.146128	3.23	0.509203
121	5571.85	5162.1	27	2	2	2	1	14	1.146128	3.77	0.576341
122	5592.6	5175.29	28	1	1	1	1	21	1.322219	2.96	0.471292
123	5592.53	5187.54	28	2	1	1	1	36	1.556303	3.47	0.540329
124	5592.36	5188.25	28	2	2	1	1	24	1.380211	4.03	0.605305
125	5592.57	5188.2	28	2	2	2	1	20	1.30103	4.47	0.650308
126	5592.61	5151.08	29	1	1	1	1	10	1	3.2	0.50515
127	5585.12	5153.71	29	2	1	1	1	24	1.380211	4	0.60206
128	5583.88	5153.92	29	2	2	1	1	14	1.146128	2.95	0.469822
129	5583.55	5153.88	29	2	2	2	1	20	1.30103	3.29	0.517196
