Counts	Sqrt Counts	Cells	Twnsp	Mine	Sample
1.06	1.03	5	2	2	2
1.2	1.095	5	2	2	3
1.58	1.257	5	2	2	4
5.1	2.258	6	1	1	1
2.17	1.473	6	1	1	2
1.38	1.175	6	1	1	3
1.73	1.315	6	1	1	4
3.05	1.746	6	1	2	1
4.57	2.138	6	1	2	2
0.99	0.995	6	1	2	3
1.43	1.196	6	1	2	4
1.34	1.158	6	2	1	1
4.43	2.105	6	2	1	2
6.62	2.573	6	2	1	3
3.33	1.825	6	2	1	4
3.1	1.761	6	2	2	1
5.63	2.373	6	2	2	2
3.47	1.863	6	2	2	3
1.06	1.03	6	2	2	4
2.08	1.442	7	1	1	1
3.67	1.916	7	1	1	2
0.86	0.927	7	1	1	3
1.15	1.072	7	1	1	4
1.12	1.058	7	1	2	1
4.9	2.214	7	1	2	2
1.8	1.342	7	1	2	3
1.27	1.127	7	1	2	4
1.33	1.153	7	2	1	1
3.33	1.825	7	2	1	2
5.97	2.443	7	2	1	3
1.07	1.034	7	2	1	4
1.02	1.01	7	2	2	1
0.99	0.995	7	2	2	2
4	2	7	2	2	3
1.43	1.196	7	2	2	4
2.79	1.67	8	1	1	1
1.05	1.025	8	1	1	2
1.6	1.265	8	1	1	3
1.29	1.136	8	1	1	4
1.21	1.1	8	1	2	1
0.87	0.933	8	1	2	2
1.3	1.14	8	1	2	3
3.17	1.78	8	1	2	4
1.51	1.229	8	2	1	1
8.25	2.872	8	2	1	2
2.7	1.643	8	2	1	3
1.78	1.334	8	2	1	4
3.7	1.924	8	2	2	1
1.37	1.17	8	2	2	2
0.98	0.99	8	2	2	3
2.2	1.483	8	2	2	4
2.07	1.439	9	1	1	1
2.22	1.49	9	1	1	2
1.14	1.068	9	1	1	3
3.67	1.916	9	1	1	4
0.83	0.911	9	1	2	1
1.36	1.166	9	1	2	2
2.93	1.712	9	1	2	3
1.58	1.257	9	1	2	4
1.24	1.114	9	2	1	1
1.29	1.136	9	2	1	2
1.23	1.109	9	2	1	3
0.88	0.938	9	2	1	4
0.95	0.975	9	2	2	1
1.02	1.01	9	2	2	2
0.84	0.917	9	2	2	3
0.84	0.917	9	2	2	4
3.77	1.942	10	1	1	1
2.1	1.449	10	1	1	2
4.48	2.117	10	1	1	3
2.82	1.679	10	1	1	4
1.85	1.36	10	1	2	1
1.61	1.269	10	1	2	2
1.63	1.277	10	1	2	3
3.05	1.746	10	1	2	4
2.93	1.712	10	2	1	1
2.91	1.706	10	2	1	2
1.16	1.077	10	2	1	3
2.43	1.559	10	2	1	4
2.08	1.442	10	2	2	1
1.73	1.315	10	2	2	2
1.19	1.091	10	2	2	3
2.23	1.493	10	2	2	4
4.89	2.211	11	1	1	1
1.6	1.265	11	1	1	2
2.27	1.507	11	1	1	3
1.73	1.315	11	1	1	4
2	1.414	11	1	2	1
7.23	2.689	11	1	2	2
2.18	1.476	11	1	2	3
2.1	1.449	11	1	2	4
1.4	1.183	11	2	1	1
1.81	1.345	11	2	1	2
1.21	1.1	11	2	1	3
1.97	1.404	11	2	1	4
1.58	1.257	11	2	2	1
1.37	1.17	11	2	2	2
1.19	1.091	11	2	2	3
4.6	2.145	11	2	2	4
